#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
7.976980e+05,8.656519e+08,1.084187e+03,7.479727e+17,1.516482e+07,1.496658e+07,1.307238e-02,3.929925e+10,1.711931e+09,1.835248e+09,7.203344e-02,1.520691e+16,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.653439e+03,0,3350,1208
7.976980e+05,-6.295301e+08,7.901836e+02,3.973132e+17,1.516482e+07,1.545295e+07,1.899976e-02,8.301772e+10,1.711931e+09,1.759078e+09,2.754030e-02,2.222849e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.679211e+03,0,3410,1208
7.976980e+05,-1.599881e+09,2.006622e+03,2.562171e+18,1.516482e+07,1.510946e+07,3.650528e-03,3.064687e+09,1.711931e+09,1.778242e+09,3.873465e-02,4.397156e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,3.047340e+03,0,3816,1208
7.976980e+05,-5.165645e+07,6.575690e+01,2.751437e+15,1.516482e+07,1.534514e+07,1.189059e-02,3.251486e+10,1.711931e+09,1.752882e+09,2.392088e-02,1.676977e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.753515e+03,0,3497,1208
7.976980e+05,-9.871102e+08,1.238448e+03,9.759619e+17,1.516482e+07,1.508461e+07,5.289646e-03,6.434694e+09,1.711931e+09,1.928806e+09,1.266843e-01,4.703470e+16,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.288640e+03,0,2960,1208
7.976980e+05,-9.582198e+06,1.301231e+01,1.077422e+14,1.516482e+07,1.512050e+07,2.922630e-03,1.964366e+09,1.711931e+09,1.640016e+09,4.200828e-02,5.171808e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.492827e+03,0,3214,1208
7.976980e+05,8.117522e+07,1.007618e+02,6.460546e+15,1.516482e+07,1.543535e+07,1.783923e-02,7.318584e+10,1.711931e+09,1.675701e+09,2.116325e-02,1.312615e+15,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.581820e+03,0,3285,1208
7.976980e+05,-3.391354e+08,4.261426e+02,1.155545e+17,1.516482e+07,1.540029e+07,1.552693e-02,5.544291e+10,1.711931e+09,1.659426e+09,3.067021e-02,2.756806e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.598537e+03,0,3337,1208
7.976980e+05,-1.336838e+09,1.676869e+03,1.789268e+18,1.516482e+07,1.520082e+07,2.373474e-03,1.295519e+09,1.711931e+09,1.666304e+09,2.665270e-02,2.081877e+15,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.409287e+03,0,3112,1208
7.976980e+05,-7.365375e+08,9.243288e+02,5.436632e+17,1.516482e+07,1.521794e+07,3.502480e-03,2.821149e+09,1.711931e+09,1.502114e+09,1.225618e-01,4.402332e+16,1.578056e-01,0.000000e+00,1.000000e+00,2.490260e-02,8.470000e+02,1.208000e+03,7.290280e+05,0.000000e+00,2.820457e+03,0,3440,1208
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.326313e+02,7.141225e+17
2-stars,9.506765e-03,2.990410e+10
3-stars,5.319698e-02,1.258850e+16
Clst,1.867382e+00,1.617804e-01
