#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),EpsL,max_deg
6.373740e+06,6.990904e+06,9.682911e-02,3.808909e+11,1.290487e+08,1.290422e+08,5.058002e-05,4.260548e+07,1.481705e-01,1.625260e-01,9.688459e-02,2.060787e-04,4.180487,3018
6.373740e+06,1.967275e+06,6.913468e-01,1.941693e+13,1.290487e+08,1.290731e+08,1.889020e-04,5.942655e+08,1.481705e-01,4.572467e-02,6.914051e-01,1.049516e-02,4.180487,3018
6.373740e+06,2.675582e+06,5.802179e-01,1.367637e+13,1.290487e+08,1.289901e+08,4.546207e-04,3.441961e+09,1.481705e-01,6.222763e-02,5.800270e-01,7.386183e-03,4.180487,3018
6.373740e+06,-5.053513e+05,1.079286e+00,4.732190e+13,1.290487e+08,1.290205e+08,2.188956e-04,7.979607e+08,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,1.382165e+07,1.168530e+00,5.547129e+13,1.290487e+08,1.289836e+08,5.048053e-04,4.243805e+09,1.481705e-01,3.214745e-01,1.169625e+00,3.003427e-02,4.180487,3018
6.373740e+06,9.522960e+06,4.940930e-01,9.917587e+12,1.290487e+08,1.290468e+08,1.531304e-05,3.905081e+06,1.481705e-01,2.213839e-01,4.941158e-01,5.360203e-03,4.180487,3018
6.373740e+06,5.922372e+06,7.081688e-02,2.037334e+11,1.290487e+08,1.290384e+08,8.014222e-05,1.069622e+08,1.481705e-01,1.376886e-01,7.074241e-02,1.098711e-04,4.180487,3018
6.373740e+06,7.540582e+06,1.830702e-01,1.361520e+12,1.290487e+08,1.291095e+08,4.710579e-04,3.695354e+09,1.481705e-01,1.752136e-01,1.825132e-01,7.313277e-04,4.180487,3018
6.373740e+06,3.886069e+06,3.903000e-01,6.188505e+12,1.290487e+08,1.290593e+08,8.165269e-05,1.110321e+08,1.481705e-01,9.033220e-02,3.903498e-01,3.345273e-03,4.180487,3018
6.373740e+06,4.619395e+06,2.752458e-01,3.077726e+12,1.290487e+08,1.291172e+08,5.307296e-04,4.690878e+09,1.481705e-01,1.073303e-01,2.756302e-01,1.667928e-03,4.180487,3018
6.373740e+06,1.616403e+07,1.536036e+00,9.584986e+13,1.290487e+08,1.290164e+08,2.509454e-04,1.048736e+09,1.481705e-01,3.758601e-01,1.536673e+00,5.184255e-02,4.180487,3018
6.373740e+06,5.361025e+06,1.588886e-01,1.025591e+12,1.290487e+08,1.291152e+08,5.153965e-04,4.423748e+09,1.481705e-01,1.245637e-01,1.593219e-01,5.572816e-04,4.180487,3018
6.373740e+06,1.910886e+06,7.001939e-01,1.991707e+13,1.290487e+08,1.290491e+08,2.448651e-06,9.985307e+04,1.481705e-01,4.442231e-02,7.001947e-01,1.076369e-02,4.180487,3018
6.373740e+06,1.359392e+06,7.867199e-01,2.514369e+13,1.290487e+08,1.292067e+08,1.224012e-03,2.495049e+10,1.481705e-01,3.156319e-02,7.869807e-01,1.359727e-02,4.180487,3018
6.373740e+06,5.665395e+06,1.111349e-01,5.017525e+11,1.290487e+08,1.289660e+08,6.409954e-04,6.842540e+09,1.481705e-01,1.317881e-01,1.105648e-01,2.683843e-04,4.180487,3018
6.373740e+06,5.301808e+06,1.681794e-01,1.149037e+12,1.290487e+08,1.290397e+08,6.975853e-05,8.104050e+07,1.481705e-01,1.232599e-01,1.681214e-01,6.205395e-04,4.180487,3018
6.373740e+06,-2.406921e+05,1.037763e+00,4.375071e+13,1.290487e+08,1.291149e+08,5.126616e-04,4.376925e+09,1.481705e-01,0.000000e+00,1.000000e+00,2.195451e-02,4.180487,3018
6.373740e+06,4.713315e+06,2.605103e-01,2.757012e+12,1.290487e+08,1.290915e+08,3.312671e-04,1.827528e+09,1.481705e-01,1.095343e-01,2.607552e-01,1.492759e-03,4.180487,3018
6.373740e+06,2.948684e+06,5.373699e-01,1.173101e+13,1.290487e+08,1.289588e+08,6.972160e-04,8.095471e+09,1.481705e-01,6.859598e-02,5.370471e-01,6.332109e-03,4.180487,3018
6.373740e+06,6.888812e+06,8.081150e-02,2.652987e+11,1.290487e+08,1.289639e+08,6.577472e-04,7.204860e+09,1.481705e-01,1.602498e-01,8.152287e-02,1.459092e-04,4.180487,3018
function,AVG(rel-err),AVG(l2-loss)
Triangles,5.203672e-01,1.795537e+13
2-stars,3.749574e-04,3.829008e+09
Clst,5.146237e-01,9.443290e-03
