#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
4.753000e+03,5.246241e+07,1.103675e+04,2.751806e+15,6.387300e+04,5.304199e+04,1.695711e-01,1.173109e+08,5.099980e+05,8.728283e+05,7.114348e-01,1.316458e+11,2.232399e-01,1.000000e+00,3.479487e+00,6.033563e-01,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.959400e+01,0,20,66
4.753000e+03,-3.756855e+07,7.905177e+03,1.411753e+15,6.387300e+04,7.961509e+04,2.464592e-01,2.478134e+08,5.099980e+05,6.487177e+05,2.720004e-01,1.924315e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.082100e+01,0,11,66
4.753000e+03,-9.600338e+07,2.019948e+04,9.217562e+15,6.387300e+04,6.084839e+04,4.735357e-02,9.148294e+06,5.099980e+05,7.051033e+05,3.825609e-01,3.806607e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.668200e+01,0,16,66
4.753000e+03,-2.778453e+06,5.855683e+02,7.746236e+12,6.387300e+04,7.372485e+04,1.542413e-01,9.705902e+07,5.099980e+05,6.304868e+05,2.362534e-01,1.451755e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.575000e+01,0,16,66
4.753000e+03,-5.908934e+07,1.243301e+04,3.492111e+15,6.387300e+04,5.949031e+04,6.861572e-02,1.920799e+07,5.099980e+05,1.148103e+06,1.251192e+00,4.071782e+11,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.470200e+01,0,14,66
4.753000e+03,-2.395487e+05,5.139947e+01,5.968331e+10,6.387300e+04,6.145148e+04,3.791149e-02,5.863764e+06,5.099980e+05,2.984035e+05,4.148927e-01,4.477221e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.370900e+01,0,14,66
4.753000e+03,5.227043e+06,1.098735e+03,2.727231e+13,6.387300e+04,7.865355e+04,2.314053e-01,2.184646e+08,5.099980e+05,4.033993e+05,2.090178e-01,1.136327e+10,2.232399e-01,1.000000e+00,3.479487e+00,6.033563e-01,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,8.820000e+00,0,9,66
4.753000e+03,-2.008392e+07,4.226525e+03,4.035548e+14,6.387300e+04,7.673771e+04,2.014108e-01,1.655008e+08,5.099980e+05,3.555130e+05,3.029129e-01,2.386560e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,1.572100e+01,0,16,66
4.753000e+03,-8.014850e+07,1.686372e+04,6.424544e+15,6.387300e+04,6.583952e+04,3.078801e-02,3.867210e+06,5.099980e+05,3.757491e+05,2.632341e-01,1.802275e+10,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,2.061100e+01,0,19,66
4.753000e+03,-4.401106e+07,9.260639e+03,1.937392e+15,6.387300e+04,6.677495e+04,4.543313e-02,8.421316e+06,5.099980e+05,-1.073421e+05,1.210475e+00,3.811088e+11,2.232399e-01,0.000000e+00,1.000000e+00,4.983604e-02,5.100000e+01,6.600000e+01,2.145000e+03,0.000000e+00,5.872000e+00,0,6,66
function,AVG(rel-err),AVG(l2-loss)
Triangles,8.366100e+03,2.567380e+15
2-stars,1.233190e-01,8.926573e+07
3-stars,5.253974e-01,1.089783e+11
Clst,1.495897e+00,1.605401e-01
