#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
4.686000e+03,4.344737e+06,9.261739e+02,1.883604e+13,6.329900e+04,8.405736e+04,3.279414e-01,4.309097e+08,5.061040e+05,3.471687e+06,5.859632e+00,8.794685e+12,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.375762e+00,1.506864e+02,1.138475e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,1.156279e+06,2.457518e+02,1.326167e+12,6.329900e+04,5.022619e+04,2.065247e-01,1.708983e+08,5.061040e+05,1.382401e+06,1.731456e+00,7.678962e+11,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.369639e+00,1.507098e+02,1.138582e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,-7.275129e+06,1.553524e+03,5.299571e+13,6.329900e+04,5.691688e+04,1.008250e-01,4.073145e+07,5.061040e+05,2.951341e+06,4.831491e+00,5.979185e+12,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.374447e+00,1.510251e+02,1.143164e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,5.619945e+06,1.198305e+03,3.153113e+13,6.329900e+04,6.194660e+04,2.136520e-02,1.828974e+06,5.061040e+05,-1.953718e+06,4.860309e+00,6.050724e+12,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.374045e+00,1.509290e+02,1.141948e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,2.912962e+06,6.206309e+02,8.458072e+12,6.329900e+04,9.631580e+04,5.216006e-01,1.090109e+09,5.061040e+05,-4.572379e+04,1.090345e+00,3.045139e+11,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.372964e+00,1.508729e+02,1.140975e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,-5.388390e+06,1.150891e+03,2.908527e+13,6.329900e+04,3.540455e+04,4.406775e-01,7.781001e+08,5.061040e+05,-3.959420e+06,8.823332e+00,1.994090e+13,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.373044e+00,1.507321e+02,1.138962e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,-5.758623e+06,1.229900e+03,3.321574e+13,6.329900e+04,3.434994e+04,4.573383e-01,8.380480e+08,5.061040e+05,4.044702e+06,6.991839e+00,1.252167e+13,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.373949e+00,1.508457e+02,1.141175e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,7.480050e+06,1.595255e+03,5.588106e+13,6.329900e+04,6.641681e+04,4.925523e-02,9.720721e+06,5.061040e+05,2.186779e+06,3.320810e+00,2.824669e+12,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.373652e+00,1.509616e+02,1.142176e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,5.838345e+06,1.244912e+03,3.403158e+13,6.329900e+04,6.199841e+04,2.054677e-02,1.691534e+06,5.061040e+05,-9.799946e+05,2.936350e+00,2.208489e+12,2.220888e-01,1.000000e+00,3.502703e+00,6.051458e-01,5.376097e+00,1.510047e+02,1.142814e+04,0.000000e+00,0.000000e+00,0,0,66
4.686000e+03,-4.883687e+06,1.043187e+03,2.389619e+13,6.329900e+04,7.429650e+04,1.737389e-01,1.209450e+08,5.061040e+05,2.505338e+06,3.950244e+00,3.996939e+12,2.220888e-01,0.000000e+00,1.000000e+00,4.932344e-02,5.372023e+00,1.507961e+02,1.139938e+04,0.000000e+00,0.000000e+00,0,0,66
function,AVG(rel-err),AVG(l2-loss)
Triangles,1.080853e+03,2.892570e+13
2-stars,2.319814e-01,3.482983e+08
3-stars,4.439581e+00,6.338968e+12
Clst,2.501622e+00,3.828169e-01
