#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
7.881620e+05,6.655016e+06,7.443715e+00,3.441997e+13,1.507484e+07,1.508952e+07,9.739129e-04,2.155487e+08,1.701560e+09,1.703700e+09,1.257561e-03,4.578810e+12,1.568499e-01,1.000000e+00,5.375523e+00,7.109021e-01,5.461024e+00,1.697680e+02,1.573113e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,2.968395e+06,2.766225e+00,4.753416e+12,1.507484e+07,1.506713e+07,5.111670e-04,5.937871e+07,1.701560e+09,1.712560e+09,6.464231e-03,1.209841e+14,1.568499e-01,5.910340e-01,2.768151e+00,1.885158e-01,5.455029e+00,1.697914e+02,1.574299e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,-7.445699e+06,1.044691e+01,6.779647e+13,1.507484e+07,1.507362e+07,8.055623e-05,1.474699e+06,1.701560e+09,1.706267e+09,2.765895e-03,2.214960e+13,1.568499e-01,0.000000e+00,1.000000e+00,2.460188e-02,5.460823e+00,1.701067e+02,1.578723e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,6.356267e+06,7.064671e+00,3.100380e+13,1.507484e+07,1.507568e+07,5.604466e-05,7.137952e+05,1.701560e+09,1.700180e+09,8.111214e-04,1.904875e+12,1.568499e-01,1.000000e+00,5.375523e+00,7.109021e-01,5.459320e+00,1.700106e+02,1.578030e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,3.041936e+06,2.859531e+00,5.079496e+12,1.507484e+07,1.510061e+07,1.709872e-03,6.644039e+08,1.701560e+09,1.698691e+09,1.686095e-03,8.231114e+12,1.568499e-01,6.043337e-01,2.852943e+00,2.002417e-01,5.458966e+00,1.699545e+02,1.577015e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,-4.854444e+06,7.159195e+00,3.183900e+13,1.507484e+07,1.504355e+07,2.075186e-03,9.786313e+08,1.701560e+09,1.701161e+09,2.349549e-04,1.598319e+11,1.568499e-01,0.000000e+00,1.000000e+00,2.460188e-02,5.459980e+00,1.698137e+02,1.574677e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,-4.774461e+06,7.057715e+00,3.094277e+13,1.507484e+07,1.504905e+07,1.710254e-03,6.647013e+08,1.701560e+09,1.709586e+09,4.716505e-03,6.440733e+13,1.568499e-01,0.000000e+00,1.000000e+00,2.460188e-02,5.459321e+00,1.699273e+02,1.576452e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,9.102655e+06,1.054922e+01,6.913080e+13,1.507484e+07,1.508017e+07,3.538603e-04,2.845567e+07,1.701560e+09,1.707747e+09,3.635950e-03,3.827634e+13,1.568499e-01,1.000000e+00,5.375523e+00,7.109021e-01,5.459778e+00,1.700432e+02,1.578132e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,7.207906e+06,8.145209e+00,4.121311e+13,1.507484e+07,1.507302e+07,1.202036e-04,3.283525e+06,1.701560e+09,1.696921e+09,2.726427e-03,2.152199e+13,1.568499e-01,1.000000e+00,5.375523e+00,7.109021e-01,5.461055e+00,1.700863e+02,1.578439e+04,0.000000e+00,0.000000e+00,0,0,1208
7.881620e+05,-3.901462e+06,5.950077e+00,2.199258e+13,1.507484e+07,1.509710e+07,1.477154e-03,4.958573e+08,1.701560e+09,1.702437e+09,5.155176e-04,7.694524e+11,1.568499e-01,0.000000e+00,1.000000e+00,2.460188e-02,5.457927e+00,1.698777e+02,1.574659e+04,0.000000e+00,0.000000e+00,0,0,1208
function,AVG(rel-err),AVG(l2-loss)
Triangles,6.944247e+00,3.381714e+13
2-stars,9.068210e-04,3.112449e+08
3-stars,2.481426e-03,2.829835e+13
Clst,3.112319e+00,3.330774e-01
