#tri(true),#tri(est),#tri(rel-err),#tri(l2-loss),#2st(true),#2st(est),#2st(rel-err),#2st(l2-loss),#3st(true),#3st(est),#3st(rel-err),#3st(l2-loss),clst(true),clst(est),clst(rel-err),clst(l2-loss),sen_tri,sen_2st,sen_3st,eclip_sum,tclip_sum,#eclip,#tclip,max_deg
7.976980e+05,2.067344e+08,2.581638e+02,4.240994e+16,1.516482e+07,1.517946e+07,9.649992e-04,2.141552e+08,1.711931e+09,1.714056e+09,1.241219e-03,4.515123e+12,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.077078e+01,1.698318e+02,1.574960e+04,0.000000e+00,6.290398e+04,0,2790,1208
7.976980e+05,1.988219e+08,2.482446e+02,3.921358e+16,1.516482e+07,1.515714e+07,5.065146e-04,5.900090e+07,1.711931e+09,1.722984e+09,6.456340e-03,1.221646e+14,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.075418e+01,1.698552e+02,1.576136e+04,0.000000e+00,6.323365e+04,0,2796,1208
7.976980e+05,1.804156e+08,2.251702e+02,3.226257e+16,1.516482e+07,1.516386e+07,6.324157e-05,9.197716e+05,1.711931e+09,1.716681e+09,2.774625e-03,2.256218e+13,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076878e+01,1.701705e+02,1.580577e+04,0.000000e+00,6.307885e+04,0,2798,1208
7.976980e+05,2.086450e+08,2.605589e+02,4.320051e+16,1.516482e+07,1.516563e+07,5.291547e-05,6.439321e+05,1.711931e+09,1.710544e+09,8.106383e-04,1.925870e+12,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076582e+01,1.700744e+02,1.579870e+04,0.000000e+00,6.304631e+04,0,2790,1208
7.976980e+05,2.027020e+08,2.531087e+02,4.076535e+16,1.516482e+07,1.519047e+07,1.691429e-03,6.579340e+08,1.711931e+09,1.709101e+09,1.653064e-03,8.008519e+12,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076314e+01,1.700183e+02,1.578869e+04,0.000000e+00,6.316313e+04,0,2803,1208
7.976980e+05,1.875273e+08,2.340856e+02,3.486795e+16,1.516482e+07,1.513369e+07,2.053119e-03,9.694002e+08,1.711931e+09,1.711557e+09,2.184295e-04,1.398283e+11,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076473e+01,1.698775e+02,1.576530e+04,0.000000e+00,6.289529e+04,0,2778,1208
7.976980e+05,1.873002e+08,2.338009e+02,3.478318e+16,1.516482e+07,1.513926e+07,1.685758e-03,6.535294e+08,1.711931e+09,1.719992e+09,4.708774e-03,6.498130e+13,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076491e+01,1.699911e+02,1.578299e+04,0.000000e+00,6.308223e+04,0,2779,1208
7.976980e+05,2.134727e+08,2.666109e+02,4.523065e+16,1.516482e+07,1.517008e+07,3.467502e-04,2.765084e+07,1.711931e+09,1.718102e+09,3.604551e-03,3.807807e+13,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076511e+01,1.701070e+02,1.579990e+04,0.000000e+00,6.304419e+04,0,2803,1208
7.976980e+05,2.109478e+08,2.634457e+02,4.416306e+16,1.516482e+07,1.516299e+07,1.206534e-04,3.347755e+06,1.711931e+09,1.707262e+09,2.727551e-03,2.180311e+13,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.077268e+01,1.701501e+02,1.580299e+04,0.000000e+00,6.297644e+04,0,2813,1208
7.976980e+05,1.884661e+08,2.352624e+02,3.521941e+16,1.516482e+07,1.518726e+07,1.479621e-03,5.034722e+08,1.711931e+09,1.712833e+09,5.269000e-04,8.136340e+11,1.578056e-01,1.000000e+00,5.336911e+00,7.092914e-01,1.076305e+01,1.699415e+02,1.576507e+04,0.000000e+00,6.303805e+04,0,2801,1208
function,AVG(rel-err),AVG(l2-loss)
Triangles,2.478452e+02,3.921162e+16
2-stars,8.965001e-04,3.090054e+08
3-stars,2.472209e-03,2.849923e+13
Clst,5.336911e+00,7.092914e-01
